student_id,graduation_year,branch,cgpa,class_10_percent,class_12_percent,internships,research_papers,major_project_domain,skills,outcome,company_name,company_type,sector,package_lpa,active_backlogs,eligible,registered,shortlisted,appeared,cleared,interviewed,offer_received,offer_accepted,joined_company,eligible_for_placements,registered_for_placements,appeared_for_test,cleared_test,internship_converted_to_ppo,is_repeat_recruiter,recruiter_visit_year,placement_status,company_tier
S15_00001,2015,BT,7.19,75.6,69.1,0,0,Data Analysis,"SQL, Bioinformatics, Python, R, Excel",Unplaced,,,,0.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,unplaced,
S15_00002,2015,CSE,6.98,90.95,81.24,0,0,Data Science,"Java, Node.js, React, TensorFlow",Placed,Infosys,service,Tech,3.71,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00003,2015,IT,7.33,83.0,66.72,1,0,Mobile Apps,"React, SQL, AWS",Placed,Salesforce,product,Tech,12.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_2
S15_00004,2015,ECE,7.5,73.63,67.18,3,0,Signal Processing,"IoT, C++, MATLAB, SQL, Python",Placed,VMware,product,Tech,14.76,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_2
S15_00005,2015,EE,7.06,79.09,68.5,1,0,Embedded Systems,"IoT, AutoCAD, MATLAB, Excel",Placed,L&T,core,Core Engineering,12.18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2015,placed,tier_2
S15_00006,2015,ECE,5.87,77.66,61.27,0,0,Embedded Systems,"VHDL, IoT, Embedded Systems",Higher Studies,,,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,higher_studies,
S15_00007,2015,IT,6.7,73.93,67.35,0,0,Machine Learning,"JavaScript, Node.js, AWS, SQL",Unplaced,,,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unplaced,
S15_00008,2015,ME,8.82,82.76,79.85,0,1,Robotics,"AutoCAD, Solidworks, MATLAB, Python",Placed,GE,core,Core Engineering,8.11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2015,placed,tier_2
S15_00009,2015,IT,7.66,84.45,74.38,4,0,Data Science,"React, Python, Docker, Java, AWS",Placed,HCL,service,Tech,3.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00010,2015,ECE,8.57,79.8,74.33,1,0,Signal Processing,"Python, C++, MATLAB",Placed,Wipro,service,Tech,3.82,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2015,placed,tier_3
S15_00011,2015,CSE,9.53,85.71,86.02,0,0,Mobile Apps,"Node.js, SQL",Higher Studies,,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,higher_studies,
S15_00012,2015,BT,8.33,88.46,78.1,1,0,Data Analysis,"Bioinformatics, SQL, Excel",Placed,Ola,startup,Tech,14.39,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00013,2015,CE,6.25,76.68,67.88,1,0,Robotics,"Project Management, AutoCAD, Revit, Civil 3D",Unplaced,,,,0.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,unplaced,
S15_00014,2015,IT,6.95,77.32,73.28,1,0,Cybersecurity,"SQL, Python, Java",Placed,Cognizant,service,Tech,4.07,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015,placed,tier_3
S15_00015,2015,ME,7.63,75.26,65.04,1,0,Robotics,"AutoCAD, Ansys, Python, Excel",Placed,Infosys,service,Tech,3.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00016,2015,ECE,8.85,90.24,81.65,1,0,Hardware & VLSI,"Python, C++, SQL, VHDL",Placed,Google,product,Tech,27.57,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2015,placed,tier_1
S15_00017,2015,ECE,7.04,79.37,69.74,1,0,Signal Processing,"MATLAB, IoT, SQL, VHDL, C++",Placed,Oracle,product,Tech,15.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2015,placed,tier_2
S15_00018,2015,BT,8.8,78.96,75.1,2,3,Data Analysis,"Python, Data Analysis, SQL, R",Higher Studies,,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,higher_studies,
S15_00019,2015,CE,6.68,81.96,69.59,1,0,AutoCAD Design,"Revit, STAAD Pro, Civil 3D",Unplaced,,,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unplaced,
S15_00020,2015,EE,7.13,81.86,61.85,0,0,Embedded Systems,"MATLAB, IoT",Placed,Cognizant,service,Tech,4.18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00021,2015,ECE,6.94,80.1,68.13,0,0,IoT,"MATLAB, C++",Placed,Paytm,startup,Tech,7.24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00022,2015,BT,5.76,73.83,55.41,1,0,Bioinformatics,"SQL, Data Analysis, Python, Excel",Unplaced,,,,0.0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,,unplaced,
S15_00023,2015,ECE,6.44,66.29,65.11,0,0,Signal Processing,"Python, SQL, VHDL, MATLAB, IoT",Placed,Cognizant,service,Tech,4.99,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00024,2015,BT,7.83,82.66,69.0,2,0,Biotech Research,"Excel, Python",Placed,TCS,service,Tech,4.09,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00025,2015,ECE,8.77,87.75,80.45,0,0,Signal Processing,"SQL, C++",Placed,Tech Mahindra,service,Tech,3.88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00026,2015,ECE,5.33,73.48,61.86,0,0,Power Systems,"Python, IoT, Embedded Systems, VHDL",Unplaced,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unplaced,
S15_00027,2015,BT,7.02,78.47,69.94,1,0,Clinical Analytics,"Excel, Python, Data Analysis, SQL",Placed,Paytm,startup,Tech,8.36,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00028,2015,EE,4.96,71.35,51.9,0,0,Hardware & VLSI,"Excel, AutoCAD, IoT, Power Systems",Unplaced,,,,0.0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,,unplaced,
S15_00029,2015,ME,6.69,75.06,59.76,1,0,AutoCAD Design,"AutoCAD, Solidworks, Python, Excel",Unplaced,,,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unplaced,
S15_00030,2015,EE,7.86,79.67,79.09,2,0,Power Systems,"Excel, AutoCAD, MATLAB",Placed,Bain,consulting,Consulting,18.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_1
S15_00031,2015,CSE,5.98,75.38,65.98,1,0,Cybersecurity,"SQL, Docker, AWS",Unplaced,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unplaced,
S15_00032,2015,EE,6.66,79.04,70.12,0,0,Power Systems,"Power Systems, AutoCAD, MATLAB, Excel",Placed,Reliance,core,Core Engineering,10.47,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00033,2015,ME,6.7,81.88,75.91,2,0,Structural Engineering,"Solidworks, Ansys, Excel, Project Management, AutoCAD",Placed,Reliance,core,Core Engineering,11.86,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_3
S15_00034,2015,ME,7.63,86.06,71.12,1,0,Structural Engineering,"AutoCAD, Excel, Ansys",Placed,Honeywell,core,Core Engineering,12.39,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2015,placed,tier_2
S15_00035,2015,CSE,7.31,92.75,79.06,1,0,Machine Learning,"AWS, Java",Placed,Intel,product,Tech,14.26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2015,placed,tier_2
S15_00036,2015,CSE,4.98,58.42,51.14,0,0,Cloud Computing,"C++, Java, TensorFlow",Unplaced,,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,unplaced,
S15_00037,2015,CSE,6.33,85.57,70.0,0,0,Data Science,"Docker, SQL, TensorFlow",Placed,Paytm,startup,Tech,10.15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2015,placed,tier_3
